client_id,raw_cluster
client_000,1
client_001,1
client_002,1
client_003,1
client_004,1
client_005,1
client_006,1
client_007,1
client_008,1
client_009,1
client_010,0
client_011,0
client_012,0
client_013,0
client_014,0
client_015,0
client_016,0
client_017,0
client_018,0
client_019,0
client_020,0
client_021,0
client_022,0
client_023,0
client_024,0
client_025,0
client_026,0
client_027,0
client_028,0
client_029,0
client_030,0
client_031,0
client_032,0
client_033,0
client_034,0
client_035,0
client_036,0
client_037,0
client_038,0
client_039,0
