client_id,modality_id,modality_name,num_samples
client_000,0,accelerometer,422
client_001,0,accelerometer,421
client_002,0,accelerometer,421
client_003,0,accelerometer,421
client_004,0,accelerometer,421
client_005,0,accelerometer,421
client_006,0,accelerometer,421
client_007,0,accelerometer,421
client_008,0,accelerometer,421
client_009,0,accelerometer,421
client_010,1,gyroscope,422
client_011,1,gyroscope,421
client_012,1,gyroscope,421
client_013,1,gyroscope,421
client_014,1,gyroscope,421
client_015,1,gyroscope,421
client_016,1,gyroscope,421
client_017,1,gyroscope,421
client_018,1,gyroscope,421
client_019,1,gyroscope,421
client_020,2,magnetometer,422
client_021,2,magnetometer,421
client_022,2,magnetometer,421
client_023,2,magnetometer,421
client_024,2,magnetometer,421
client_025,2,magnetometer,421
client_026,2,magnetometer,421
client_027,2,magnetometer,421
client_028,2,magnetometer,421
client_029,2,magnetometer,421
client_030,3,ecg,422
client_031,3,ecg,421
client_032,3,ecg,421
client_033,3,ecg,421
client_034,3,ecg,421
client_035,3,ecg,421
client_036,3,ecg,421
client_037,3,ecg,421
client_038,3,ecg,421
client_039,3,ecg,421
