client_id,true_cluster
client_000,0
client_001,0
client_002,0
client_003,0
client_004,0
client_005,0
client_006,0
client_007,0
client_008,0
client_009,0
client_010,1
client_011,1
client_012,1
client_013,1
client_014,1
client_015,1
client_016,1
client_017,1
client_018,1
client_019,1
client_020,2
client_021,2
client_022,2
client_023,2
client_024,2
client_025,2
client_026,2
client_027,2
client_028,2
client_029,2
client_030,3
client_031,3
client_032,3
client_033,3
client_034,3
client_035,3
client_036,3
client_037,3
client_038,3
client_039,3
